bus_name,phase,pp_bus_idx,vn_kv,N,MAPE_%,Max_%,MeanSigned_%
mv_f0_lv585_f0_c1,A,10675,0.4156921938165305,48,21.22182771916432,30.800401695151844,-21.22182771916432
mv_f0_lv585_f0_c2,A,10677,0.4156921938165305,48,21.204710980214568,30.762308762584755,-21.204710980214568
mv_f0_lv585_f0_n2,A,10676,0.4156921938165305,48,21.190550439967378,30.741008561890386,-21.190550439967378
mv_f0_lv585_f0_n1,A,10674,0.4156921938165305,48,21.18605939209506,30.73425305279068,-21.18605939209506
mv_f0_lv585_f0_c0,A,10673,0.4156921938165305,48,21.1847741736986,30.729262871407606,-21.1847741736986
mv_f0_lv585_f0_n0,A,10672,0.4156921938165305,48,21.170230950167745,30.706533639828884,-21.170230950167745
mv_f0_lv585_busbar,A,4211,0.4156921938165305,48,21.14979952496755,30.67162663522244,-21.14979952496755
mv_f0_lv574_f0_c1,A,10529,0.4156921938165305,48,20.847420180265026,31.511527926136814,-20.847420180265026
mv_f0_lv574_f0_n1,A,10528,0.4156921938165305,48,20.81187829827515,31.429033356546697,-20.81187829827515
mv_f0_lv574_f0_c0,A,10527,0.4156921938165305,48,20.81125660249583,31.447122929730334,-20.81125660249583
mv_f0_lv574_f0_n0,A,10526,0.4156921938165305,48,20.8006168766822,31.402912607549403,-20.8006168766822
mv_f0_lv574_busbar,A,4200,0.4156921938165305,48,20.78599007989499,31.362813288326706,-20.78599007989499
mv_f0_lv636_f0_c0,A,11077,0.4156921938165305,48,19.77803789805562,35.489746670011435,-19.77803789805562
mv_f0_lv636_f0_c1,A,11079,0.4156921938165305,48,19.772803569949716,35.520262442272376,-19.772803569949716
mv_f0_lv636_f0_n1,A,11078,0.4156921938165305,48,19.768726446768422,35.46169019350619,-19.768726446768422
mv_f0_lv636_f0_n0,A,11076,0.4156921938165305,48,19.767433719640707,35.44312115198437,-19.767433719640707
mv_f0_lv636_busbar,A,4262,0.4156921938165305,48,19.76277843946918,35.40978364160725,-19.76277843946918
mv_f0_lv12_f0_c1,A,4387,0.4156921938165305,48,18.90971234554136,27.807256750421963,-18.90971234554136
mv_f0_lv12_f0_c0,A,4385,0.4156921938165305,48,18.899318603584955,27.705210736465357,-18.899318603584955
mv_f0_lv12_f0_n1,A,4386,0.4156921938165305,48,18.898157224358286,27.72253289690629,-18.898157224358286
mv_f0_lv12_f0_n0,A,4384,0.4156921938165305,48,18.894493288375468,27.695685716352436,-18.894493288375468
mv_f0_lv12_busbar,A,3638,0.4156921938165305,48,18.889300066275098,27.665834939596916,-18.889300066275098
mv_f0_lv566_f0_c0,A,10351,0.4156921938165305,48,18.59133737595967,26.925078201231305,-18.59133737595967
mv_f0_lv566_f0_n0,A,10350,0.4156921938165305,48,18.573116101314536,26.89779713027566,-18.573116101314536
mv_f0_lv28_f0_c0,A,4437,0.4156921938165305,48,18.568839093073,27.607753204388725,-18.568839093073
mv_f0_lv28_f0_c1,A,4439,0.4156921938165305,48,18.567994188360597,27.612748969439348,-18.567994188360597
mv_f0_lv566_busbar,A,4192,0.4156921938165305,48,18.56733645221881,26.889148238824458,-18.56733645221881
mv_f0_lv28_f0_n1,A,4438,0.4156921938165305,48,18.566582703196996,27.57679987139494,-18.566582703196996
mv_f0_lv28_f0_n0,A,4436,0.4156921938165305,48,18.566134770944032,27.565401111897046,-18.566134770944032
mv_f0_lv28_busbar,A,3654,0.4156921938165305,48,18.564829527896578,27.540584797921912,-18.564829527896578
mv_f0_lv685_f0_c0,A,11515,0.4156921938165305,48,18.404497282417942,25.05850118509548,-18.404497282417942
mv_f0_lv685_f0_n0,A,11514,0.4156921938165305,48,18.383123624921726,25.05791522260018,-18.383123624921726
mv_f0_lv685_busbar,A,4311,0.4156921938165305,48,18.376342444366625,25.057729333805398,-18.376342444366625
mv_f0_lv550_f0_c0,A,10187,0.4156921938165305,48,18.362542973887713,30.288520869528288,-18.362542973887713
mv_f0_lv550_f0_n0,A,10186,0.4156921938165305,48,18.327173453717325,30.201644687592054,-18.327173453717325
mv_f0_lv550_busbar,A,4176,0.4156921938165305,48,18.315965564839743,30.174133632207717,-18.315965564839743
mv_f0_lv59_f0_c0,A,4769,0.4156921938165305,48,18.29169119239702,28.06560146368193,-18.29169119239702
mv_f0_lv655_f0_c0,A,11219,0.4156921938165305,48,18.28767697003123,25.798513467176793,-18.28767697003123
mv_f0_lv59_f0_n0,A,4768,0.4156921938165305,48,18.283532327629796,27.99545303291002,-18.283532327629796
mv_f0_lv655_f0_n0,A,11218,0.4156921938165305,48,18.281880926831334,25.79664619617887,-18.281880926831334
mv_f0_lv59_busbar,A,3685,0.4156921938165305,48,18.280944970966626,27.973205091043766,-18.280944970966626
mv_f0_lv655_busbar,A,4281,0.4156921938165305,48,18.280042614892718,25.796054156030394,-18.280042614892718
mv_f0_lv467_f0_c1,A,9357,0.4156921938165305,48,18.25405999252995,26.44955623671437,-18.25405999252995
mv_f0_lv467_f0_c0,A,9355,0.4156921938165305,48,18.253710822395167,26.455373981782014,-18.253710822395167
mv_f0_lv611_f0_c1,A,10823,0.4156921938165305,48,18.251356681367973,26.239719535776228,-18.251356681367973
mv_f0_lv467_f0_n1,A,9356,0.4156921938165305,48,18.245607397740248,26.43289919096566,-18.245607397740248
mv_f0_lv611_f0_c0,A,10821,0.4156921938165305,48,18.244896372968075,26.21903231500226,-18.244896372968075
