Bus,X,Y
mv_f0_n157,3503.001996,4571.018918
mv_f0_n158,3378.978937,4253.258913
mv_f0_n159,3573.412632,4564.702663
mv_f0_n160,3405.589083,4304.427222
mv_f0_n161,3668.242092,4556.201142
mv_f0_n162,3256.138039,4706.596622
mv_f0_n163,3222.013965,4598.588203
mv_f0_n164,6431.187745,2716.256199
mv_f0_n165,7528.301941,2622.210922
mv_f0_n166,3360.433433,4483.34244
mv_f0_n167,8304.675795,2866.637771
mv_f0_n168,3335.008331,4586.08242
mv_f0_n169,3021.539718,4614.181795
mv_f0_n170,3908.036152,5854.226264
mv_f0_n171,6906.052991,1151.682655
mv_f0_n172,6921.634443,3386.95365
mv_f0_n173,3944.060333,4466.398125
mv_f0_n174,6615.551141,1078.891263
mv_f0_n175,4803.756323,2254.197515
mv_f0_n176,7807.829572,1296.165922
mv_f0_n177,1582.423589,6286.66485
mv_f0_n178,1987.120398,6230.636101
mv_f0_n179,6529.632886,1976.081398
mv_f0_n180,2381.076845,4375.460388
mv_f0_n181,1948.513953,6264.063055
mv_f0_n182,6488.787798,1924.007455
mv_f0_n183,6471.139005,1864.286625
mv_f0_n184,6703.511404,1637.921452
mv_f0_n185,5644.700652,1494.184449
mv_f0_n186,6178.499484,3205.760533
mv_f0_n187,6447.70051,1783.179856
mv_f0_n188,3690.584926,5116.731273
mv_f0_n189,7059.951864,1725.136253
mv_f0_n190,3871.756546,5251.346575
mv_f0_n191,6593.282141,1647.055062
mv_f0_n192,6432.072924,1729.110738
mv_f0_n193,6496.875506,1655.057403
mv_f0_n194,6855.384436,2815.515826
mv_f0_n195,8124.461185,2615.70371
mv_f0_n196,6844.083738,692.1199009999996
mv_f0_n197,7698.700294,2100.032681
mv_f0_n198,577.641899,6860.52758
mv_f0_n199,8576.160408,3219.782402
mv_f0_n200,8583.864635,3240.647524
mv_f0_n201,576.033008,6871.991729
mv_f0_n202,573.902235,6872.183365
mv_f0_n203,8560.852871,3172.942899
mv_f0_n204,4822.07868,2293.491771
mv_f0_n205,1525.411482,6642.044881
mv_f0_n206,1145.004,5992.443597
mv_f0_n207,8547.370474,3148.407332
mv_f0_n208,7329.912333,3365.556987
mv_f0_n209,1036.323079,5856.731438
mv_f0_n210,1053.42404,5904.243212
mv_f0_n211,6839.903899,3328.732001
mv_f0_n212,1082.032326,5953.088709
mv_f0_n213,8520.743028,3107.125268
mv_f0_n214,6850.558071,696.642273
mv_f0_n215,644.032259,6346.048082
mv_f0_n216,8499.616954,3077.171354
mv_f0_n217,8341.83312,2916.177176
mv_f0_n218,8453.682808,3012.027539
mv_f0_n219,1221.458072,5722.685274
mv_f0_n220,1220.800675,5724.209088
mv_f0_n221,8133.836295,2661.267538
mv_f0_n222,1252.231477,5555.588793
mv_f0_n223,1601.836972,5650.726025
mv_f0_n224,2087.298413,5558.373015
mv_f0_n225,4302.779746,4971.160868999999
mv_f0_n226,8514.791859,3108.7449
mv_f0_n227,1678.380427,5623.676011
mv_f0_n228,4433.218188,5400.836009
mv_f0_n229,8447.731639,3013.647171
mv_f0_n230,8493.668668,3078.790985
mv_f0_n231,6856.183115,3330.526268
mv_f0_n232,1982.570521,5566.940991
mv_f0_n233,4889.091016,2227.807408
mv_f0_n234,6835.480889,3328.223548
mv_f0_n235,1879.621637,5580.31068
mv_f0_n236,428.862668,5774.275491
mv_f0_n237,5881.601302,2123.818705
mv_f0_n238,1794.667542,5596.222634
mv_f0_n239,4451.70891,1789.289434
mv_f0_n240,5795.355482,2113.689824
mv_f0_n241,8541.422188,3150.026964
mv_f0_n242,4822.07868,2291.626678
mv_f0_n243,5093.821041,2155.845068
mv_f0_n244,5565.694843,4240.435954
mv_f0_n245,2430.814088,5471.73508
mv_f0_n246,2309.680114,5303.461832
mv_f0_n247,5239.75732,2168.590395
mv_f0_n248,8554.901702,3174.562531
mv_f0_n249,5285.617941,2883.088221
mv_f0_n250,3871.756546,5249.481483
mv_f0_n251,2357.329834,5411.63716
mv_f0_n252,5450.522131,2211.688363
