Bus,X,Y
mv_f0_n67,2657.069285,5015.592356
mv_f0_n68,4907.331093,4352.951581
mv_f0_n69,4939.097824,4389.420604
mv_f0_n70,3352.90181,4365.041492
mv_f0_n71,3621.63656,2967.384686
mv_f0_n72,2208.076073,1931.983282
mv_f0_n73,2389.219458,1870.22438
mv_f0_n74,3429.937643,4965.05816
mv_f0_n75,2641.30696,5006.070356
mv_f0_n76,3615.165886,3609.446036
mv_f0_n77,5691.896162,3441.404451
mv_f0_n78,7016.086804,4061.649215
mv_f0_n79,4575.082705,5680.140796
mv_f0_n80,3189.098898,4171.731693
mv_f0_n81,6834.416441,4047.416907
mv_f0_n82,3632.313235,3006.137594
mv_f0_n83,2851.876038,5214.308599
mv_f0_n84,3486.327406,5033.730217
mv_f0_n85,3945.651534,2234.931853
mv_f0_n86,2899.133014,2199.164348
mv_f0_n87,5469.324654,3357.931886
mv_f0_n88,3189.299705,4043.787488
mv_f0_n89,2063.079475,1935.362641
mv_f0_n90,7155.229112,3538.687277
mv_f0_n91,2992.583916,4938.280393
mv_f0_n92,3425.818302,4957.633735
mv_f0_n93,4739.366184,2972.19726
mv_f0_n94,3548.483485,4885.239876
mv_f0_n95,2302.010215,1882.578492
mv_f0_n96,3522.406558,4874.402322
mv_f0_n97,5255.801343,3239.845075
mv_f0_n98,4135.042101,6021.648666
mv_f0_n99,4279.897523,3794.242618
mv_f0_n100,3917.516646,3289.609251
mv_f0_n101,2478.744778,4118.475356
mv_f0_n102,3189.042484,4130.269191
mv_f0_n103,2832.402705,5213.859821
mv_f0_n104,7020.389262,4060.150804
mv_f0_n105,4978.507134,2897.229122
mv_f0_n106,3037.273527,4972.280001
mv_f0_n107,4248.28996,6359.483058
mv_f0_n108,3578.961314,5136.18605
mv_f0_n109,3204.687728,1675.032284
mv_f0_n110,5535.25834,2405.243964
mv_f0_n111,7022.385554,4060.405989
mv_f0_n112,3189.228292,4089.198622
mv_f0_n113,6628.412723,1751.601278
mv_f0_n114,5578.560407,3398.217215
mv_f0_n115,3782.686955,6554.691909
mv_f0_n116,7276.824976,1964.741423
mv_f0_n117,2389.213861,1870.225189
mv_f0_n118,3506.611997,3470.064621
mv_f0_n119,4607.447519,4379.437906
mv_f0_n120,3628.443983,4888.105837
mv_f0_n121,3547.088806,5418.070398
mv_f0_n122,3189.193817,4111.41063
mv_f0_n123,3612.089983,3523.034783
mv_f0_n124,3627.264215,4880.525357
mv_f0_n125,3597.902967,5395.307265
mv_f0_n126,8362.536322,3453.8319
mv_f0_n127,2961.230664,2212.797098
mv_f0_n128,4542.756424,5111.993336
mv_f0_n215,4769.817261,6425.852415
mv_f0_n216,3205.202393,1745.218692
mv_f0_n217,5202.085894,3196.860039
mv_f0_n218,2059.421159,5440.055758
mv_f0_n219,4907.381462,2950.168748
mv_f0_n220,3203.182237,1584.57474
mv_f0_n221,3206.624607,1864.956459
mv_f0_n222,7305.573841,1966.953157
mv_f0_n223,3425.648836,457.994694
mv_f0_n224,2441.138056,5406.151615
mv_f0_n225,2289.982628,3819.889786
mv_f0_n226,3206.726913,1720.759392
mv_f0_n227,6719.308348,1886.078663
mv_f0_n228,3478.601158,5034.349372
mv_f0_n229,3437.235073,442.6344569999996
mv_f0_n230,3243.795352,555.672043
mv_f0_n231,5255.801343,3241.710168
mv_f0_n232,4334.544867,6350.692934
mv_f0_n233,4656.641403,5652.654721
mv_f0_n234,2473.866986,1804.570203
mv_f0_n235,6548.245709,4179.70339
mv_f0_n236,3740.122997,3167.470496
mv_f0_n237,4949.320977,5859.032908
mv_f0_n238,3715.729563,3145.900317
mv_f0_n239,2563.72816,3855.423752
mv_f0_n240,2165.410341,3774.858114
mv_f0_n241,4976.209161,5818.158628
mv_f0_n242,4647.413693,2012.254809
mv_f0_n243,3204.14396,1609.614164
mv_f0_n244,3432.275236,4996.434177
mv_f0_n245,3418.032954,461.745903
mv_f0_n246,4658.069884,5384.643795
mv_f0_n247,1925.853226,1895.138612
mv_f0_n248,3096.592342,3854.593893
mv_f0_n249,4012.289359,5078.136087
mv_f0_n250,8363.347975,3450.448312
mv_f0_n251,3204.602659,1696.340095
mv_f0_n252,7059.087885,3639.425096
mv_f0_n253,7674.812063,3973.132705
mv_f0_n254,2570.587015,5457.358076
mv_f0_n255,3251.113942,551.721144
mv_f0_n256,3439.324964,5003.681353
mv_f0_n257,3189.050991,4194.049296
mv_f0_n258,4658.089808,5600.517097
mv_f0_n259,4542.752842,5111.990259
mv_f0_n260,3164.494359,4192.152799
mv_f0_n261,3783.420672,3133.659242
mv_f0_n262,2591.708357,3855.380672
mv_f0_n263,2531.474607,3868.501643
mv_f0_n264,3204.493413,1632.87467
mv_f0_n265,4670.960471,2069.089136
mv_f0_n266,4650.908224,6332.135285
mv_f0_n267,1883.464191,4085.588314
mv_f0_n268,2133.380204,3766.713868
mv_f0_n269,3413.121583,465.164779
mv_f0_n270,4658.274049,5439.220141
mv_f0_n271,5399.386502,5952.721784
mv_f0_n272,3664.638901,3084.992004
mv_f0_n273,4190.53014,4881.793467
mv_f0_n274,4881.601717,2811.173597
mv_f0_n275,5387.805077,5892.718153
mv_f0_n276,2618.95092,3855.337754
mv_f0_n277,4002.329863,5543.713056
mv_f0_n278,6272.76668,1998.697296
mv_f0_n279,4515.253059,6332.458386
mv_f0_n280,3204.837717,1655.851269
mv_f0_n281,3258.182251,548.09626
mv_f0_n282,4290.238653,4314.235355
mv_f0_n283,4659.215625,5560.038313
mv_f0_n284,4456.180802,4312.426242
mv_f0_n285,3265.185723,5872.011756
mv_f0_n286,8440.73098,3522.982148
mv_f0_n287,3473.543827,4974.547538
mv_f0_n288,3029.438257,3854.698678
mv_f0_n289,3059.249864,3418.923509
mv_f0_n290,2201.829348,1956.794834
mv_f0_n291,3406.878663,468.556771
mv_f0_n292,3439.10692,5017.704253
mv_f0_n293,4618.696085,3091.919156
mv_f0_n294,1850.949611,3724.048686
mv_f0_n295,6103.029209,2922.627351
mv_f0_n296,2646.259522,3855.295483
mv_f0_n297,2597.109769,1042.042933
mv_f0_n298,3431.084275,5017.783935
mv_f0_n299,5583.919172,2373.439991
mv_f0_n300,7664.390565,4057.023132
mv_f0_n301,3266.875819,543.647834
mv_f0_n302,993.173121,4592.460154
mv_f0_n303,4948.897201,6291.223108
mv_f0_n304,4323.546918,4315.652392
mv_f0_n305,4948.814594,6335.69814
mv_f0_n306,3842.783028,2242.071646
mv_f0_n307,1883.467101,4085.591877
mv_f0_n308,3470.852524,4968.548713
mv_f0_n309,2998.05509,3854.747265
mv_f0_n310,2133.370802,1993.860249
mv_f0_n311,5378.988607,4838.65732
mv_f0_n312,7250.080653,4187.154049
mv_f0_n313,3396.97712,473.760881
mv_f0_n314,6731.725376,3103.511269
mv_f0_n315,3440.924003,5179.833734
mv_f0_n316,6004.400089,3573.730356
mv_f0_n317,3742.206284,417.370635
mv_f0_n318,4494.462953,3010.244124
mv_f0_n319,2675.91893,3855.249164
mv_f0_n320,2603.256202,1060.709254
mv_f0_n321,6812.590932,2693.477195
mv_f0_n322,7648.642037,4146.878356
mv_f0_n323,2342.126922,3238.350652
mv_f0_n324,2289.988001,3819.888653
mv_f0_n325,3620.902843,3222.093154
mv_f0_n326,3276.763482,538.30007
mv_f0_n327,3735.826779,1598.452455
mv_f0_n328,3436.2119,444.584957
mv_f0_n329,2966.716696,3854.796499
mv_f0_n330,3393.683621,4820.316691
mv_f0_n331,3554.646036,4900.326985
mv_f0_n332,2201.82487,1956.797264
mv_f0_n333,7789.588779,3898.54517
mv_f0_n334,4072.962136,2350.799699
mv_f0_n335,4422.860225,6450.309698
mv_f0_n336,3484.831065,443.51321
mv_f0_n337,3388.765757,478.710235
mv_f0_n338,4266.256906,4216.85487
mv_f0_n339,3434.80961,5057.349616
mv_f0_n340,4493.018213,6634.662862
mv_f0_n341,3205.668927,1987.504475
mv_f0_n342,2391.617022,2371.885478
mv_f0_n343,3205.884733,1987.461719
mv_f0_n344,3399.224724,5057.372614
mv_f0_n345,3390.888892,785.439653
mv_f0_n346,2710.614625,3855.194747
mv_f0_n347,7648.642709,4146.874307
mv_f0_n348,3396.514392,4817.276628
mv_f0_n349,3723.002456,4882.800498
mv_f0_n350,2025.627555,4783.045107
mv_f0_n351,6719.308348,1887.943756
mv_f0_n352,3235.416762,5568.062226
mv_f0_n353,3284.36056,533.948493
mv_f0_n354,7023.003556,3698.412943
mv_f0_n355,3269.544288,758.916881
mv_f0_n356,2303.66592,3718.959727
mv_f0_n357,3215.898656,5591.210012
mv_f0_n358,3710.777085,1591.961125
mv_f0_n359,2933.363966,3854.848001
mv_f0_n360,3692.05661,3183.727562
mv_f0_n361,3206.302465,2012.195533
mv_f0_n362,3733.297806,3865.475832
mv_f0_n363,3399.603951,4896.068694
mv_f0_n364,2465.928543,5455.167232
mv_f0_n365,2142.178849,6783.286719
mv_f0_n366,3379.823252,482.778876
mv_f0_n367,3266.113559,728.496492
mv_f0_n368,7000.662739,4068.306388
mv_f0_n369,2745.087127,3855.141788
mv_f0_n370,3273.23761,725.397963
mv_f0_n371,3206.347238,2090.413305
mv_f0_n372,2424.747035,3110.980648
mv_f0_n373,4392.445917,6291.731575
mv_f0_n374,5204.913778,2666.924542
mv_f0_n375,4607.447519,4381.302999
mv_f0_n376,3294.050326,529.00756
mv_f0_n377,4248.416444,4881.346957
mv_f0_n378,8006.108101,4191.446512
mv_f0_n379,2869.965438,5746.329021
mv_f0_n380,4248.407937,4881.510693
mv_f0_n381,6734.174682,3078.288836
mv_f0_n382,4493.508393,5071.331056
mv_f0_n383,3692.416584,6258.387797
mv_f0_n384,2898.667151,3854.902094
mv_f0_n385,3206.316792,2036.892097
mv_f0_n386,2072.674294,4219.753539
mv_f0_n387,5078.106848,2725.775301
mv_f0_n388,4606.93042,5134.874705
mv_f0_n389,3381.943924,721.55444
mv_f0_n390,4141.561045,2388.135741
mv_f0_n391,5086.575656,2700.754988
mv_f0_n392,3098.174619,5735.336305
mv_f0_n393,3373.336096,486.15613
mv_f0_n394,3391.062611,4875.453403
mv_f0_n395,3627.143188,4869.768846
mv_f0_n396,7258.213663,3675.310991
mv_f0_n397,2849.839623,5645.210373
mv_f0_n398,4374.396841,3059.667377
mv_f0_n399,3206.331567,2063.969081
mv_f0_n400,5219.661949,2664.13167
mv_f0_n401,8006.113698,4191.445864
mv_f0_n402,4576.251056,2094.612653
mv_f0_n403,3043.16162,5776.369301
mv_f0_n404,3269.571823,771.910231
mv_f0_n405,4099.859723,2365.560629
mv_f0_n406,2710.765958,5780.356802
mv_f0_n407,3299.444574,526.00912
mv_f0_n408,2866.502248,5725.077408
mv_f0_n409,4392.731149,3097.364903
mv_f0_n410,3759.183718,4738.946711
mv_f0_n411,7371.973949,3376.047388
mv_f0_n412,3754.431096,4456.190961
mv_f0_n413,2863.971456,3854.956511
mv_f0_n414,6278.057866,3064.109001
mv_f0_n415,3972.962347,6328.814319
mv_f0_n416,2424.749721,3110.984211
mv_f0_n417,2761.408442,5859.664047
mv_f0_n418,4030.971357,6248.992938
mv_f0_n419,4119.626095,2376.261664
mv_f0_n420,4319.244823,6395.982115
mv_f0_n421,3569.888547,3803.619109
mv_f0_n422,2105.576161,1869.745876
mv_f0_n423,4604.873102,2983.597294
mv_f0_n424,3319.38959,5759.474609
mv_f0_n425,3368.525688,4787.423407
mv_f0_n426,7411.990912,3421.401027
mv_f0_n427,7080.44255,2388.237376
mv_f0_n428,2807.763019,3855.043481
mv_f0_n429,5007.177506,4880.15286
mv_f0_n430,3673.801466,6192.397657
mv_f0_n431,6119.825006,2874.516842
mv_f0_n432,5007.295931,4880.295219
mv_f0_n433,3309.327984,520.939433
mv_f0_n434,3905.15953,5632.357834
mv_f0_n435,5990.700455,3566.305515
mv_f0_n436,3873.77432,370.039854
mv_f0_n437,3254.36737,5655.770741
mv_f0_n438,3126.296075,1985.932375
mv_f0_n439,3375.503779,781.997455
mv_f0_n440,7018.670876,4059.215998
mv_f0_n441,2784.368918,5901.699385
mv_f0_n442,2836.862989,3854.998457
mv_f0_n443,3207.246951,2417.638977
mv_f0_n444,4935.121089,4359.082083
mv_f0_n445,6208.124722,3675.106441
mv_f0_n446,3357.089775,494.923257
mv_f0_n447,4355.884756,5085.490639
mv_f0_n448,4115.104472,5984.317644
mv_f0_n449,4057.492851,2342.307248
mv_f0_n450,3286.356763,5706.79152
mv_f0_n451,4493.511975,5071.334133
mv_f0_n452,2274.417304,6587.369881
mv_f0_n453,3371.195948,4750.208993
mv_f0_n454,3884.689327,391.904135
mv_f0_n455,3303.19529,1273.378101
mv_f0_n456,3321.673207,5085.000319
mv_f0_n457,3318.99514,515.699045
mv_f0_n458,3674.561039,6138.194942
mv_f0_n459,4004.674847,2314.120385
mv_f0_n460,7718.758526,3681.265763
mv_f0_n461,2793.279187,5944.946633
mv_f0_n462,3794.757216,6551.62181
mv_f0_n463,3882.072795,382.90768
mv_f0_n464,5031.753391,3071.770783
mv_f0_n465,3794.645732,6551.478642
mv_f0_n466,3705.32161,3078.851543
mv_f0_n467,3419.8973,5153.789951
mv_f0_n468,3612.09558,3523.034297
mv_f0_n469,3508.458462,3506.392742
mv_f0_n470,3348.395088,499.725555
mv_f0_n471,3185.381398,3579.109378
mv_f0_n472,1761.414049,1871.421384
mv_f0_n473,1904.740755,4111.576634
mv_f0_n474,3187.395734,3579.119743
mv_f0_n475,4030.507957,2327.906183
mv_f0_n476,1174.207932,4819.141058
mv_f0_n477,7507.026022,3529.109726
mv_f0_n478,2304.323635,6566.966589
mv_f0_n479,3756.896491,4538.150557
mv_f0_n480,7093.693111,2440.126317
mv_f0_n481,3787.880088,3865.322622
mv_f0_n482,2855.925305,4877.288033
mv_f0_n483,4432.641329,4922.694146
mv_f0_n484,3176.289099,4365.642488
mv_f0_n485,5270.37766,3249.476726
mv_f0_n486,4854.406977,2954.519029
mv_f0_n487,3147.172368,1793.727059
mv_f0_n488,5204.420357,2579.971475
mv_f0_n489,3338.688308,505.037527
mv_f0_n490,3467.206297,5061.865733
mv_f0_n491,2594.003867,1547.030423
mv_f0_n492,2802.834635,5991.324802
mv_f0_n493,1860.910254,2089.309903
mv_f0_n494,3647.98246,6271.751222
mv_f0_n495,3972.962347,6326.949226
mv_f0_n496,2191.812486,4133.693001
mv_f0_n497,3647.755461,6271.728548
mv_f0_n498,4834.340711,2956.953145
mv_f0_n499,3361.019499,5732.251704
mv_f0_n500,3669.612702,6083.348382
mv_f0_n501,2370.704938,6549.765317
mv_f0_n502,3413.182474,5153.864127
mv_f0_n503,4199.518986,2239.71245
mv_f0_n504,3062.313007,3823.304445
mv_f0_n505,4049.899579,346.285861
mv_f0_n506,6055.107914,2858.131647
mv_f0_n507,2848.003847,4708.628103
mv_f0_n508,4794.867515,2958.931348
mv_f0_n509,2821.708457,5127.537482
mv_f0_n510,2949.236432,4829.885983
mv_f0_n511,4394.11553,4881.002316
mv_f0_n512,3291.251568,719.860226
mv_f0_n513,8172.689525,4105.256814
mv_f0_n514,3826.694197,3594.147731
mv_f0_n515,7626.839167,3540.014825
mv_f0_n516,4448.513571,5062.346747
mv_f0_n517,2812.393216,6037.719328
mv_f0_n518,3610.72105,5691.432975
mv_f0_n519,8377.012997,3453.073331
mv_f0_n520,3782.121612,3282.032981
mv_f0_n521,3739.155313,3308.434296
mv_f0_n522,3678.142205,3865.630175
mv_f0_n523,3816.779027,6539.787088
mv_f0_n524,3262.674211,4864.146664
mv_f0_n525,3909.338723,6491.606689
mv_f0_n526,3474.163485,431.792917
