bus_name,pp_bus_idx,N,MAPE_%,Max_%,MeanSigned_%,MAE_pu,MaxAbsDiff_pu
mv_f0_lv383_f0_c0,10003,48,11.23983418926578,15.85801656189107,-11.23983418926578,0.11860084481934074,0.16824491698190858
mv_f0_lv695_busbar,4529,48,11.232860985463766,16.535574987252062,-11.232860985463766,0.11663963931172489,0.17343334951581924
mv_f0_lv695_f0_n0,13936,48,11.227913828480377,16.523377875606585,-11.227913828480377,0.11657645662608551,0.17326933997641492
mv_f0_lv373_busbar,4207,48,11.212724807446671,17.343399460225562,-11.212724807446671,0.11610540972462373,0.18345772282225814
mv_f0_lv695_f0_c0,13937,48,11.210473926170659,16.481988132623894,-11.210473926170659,0.11635830748083054,0.1727218777764299
mv_f0_lv373_f0_n0,9918,48,11.202404815686293,17.34516238887071,-11.202404815686293,0.11597907680612037,0.18346741925605226
mv_f0_lv383_f0_n0,10002,48,11.200679873070598,15.80682877001806,-11.200679873070598,0.1182512040270783,0.1677165325390747
mv_f0_lv373_f0_n1,9920,48,11.200413006898785,17.344433232994113,-11.200413006898785,0.11595414174652792,0.18345704923351225
mv_f0_lv373_f0_c1,9921,48,11.19320809571056,17.341872057914163,-11.19320809571056,0.11586597985196911,0.18342158426658606
mv_f0_lv383_busbar,4217,48,11.18243366154818,15.782956869008435,-11.18243366154818,0.11808812904051384,0.16747008282766318
mv_f0_lv376_f0_c24,9979,48,11.180175183247181,16.021798497610497,-11.180175183247181,0.11649439687166295,0.16636417321436492
mv_f0_lv376_f0_c26,9983,48,11.17763479444895,16.02802821816964,-11.17763479444895,0.11645326667904936,0.16641622870912742
mv_f0_lv376_f0_c25,9981,48,11.177630882482239,16.021929132849017,-11.177630882482239,0.11646145840773137,0.16635786264704677
mv_f0_lv376_f0_n26,9982,48,11.177417609233709,16.024240533808797,-11.177417609233709,0.11645861033677192,0.16638319464496043
mv_f0_lv376_f0_n25,9980,48,11.177335246697112,16.02278316057969,-11.177335246697112,0.11646069170677396,0.16637050097329142
mv_f0_lv376_f0_n24,9978,48,11.17713640760246,16.0216566990757,-11.17713640760246,0.11646244979354414,0.16636270078986193
mv_f0_lv376_f0_c23,9977,48,11.175939009533815,16.020875935496907,-11.175939009533815,0.11645072544403982,0.16635202182579178
mv_f0_lv376_f0_c22,9975,48,11.175903054103886,16.020868251741668,-11.175903054103886,0.11645369164181503,0.16635030568396936
mv_f0_lv376_f0_n23,9976,48,11.175764437884913,16.020475561771928,-11.175764437884913,0.11645187438245741,0.16635433226201657
mv_f0_lv376_f0_n22,9974,48,11.174326519559267,16.01914483631645,-11.174326519559267,0.11644175943783745,0.16634691611856234
mv_f0_lv373_f0_c0,9919,48,11.174259501137238,17.350026520426667,-11.174259501137238,0.11564010688325642,0.1834990259162016
mv_f0_lv376_f0_c21,9973,48,11.173366349232642,16.021062289467455,-11.173366349232642,0.11643559722658636,0.16637548958972936
mv_f0_lv376_f0_n21,9972,48,11.172284077130362,16.01716035947699,-11.172284077130362,0.116427086369434,0.16633833140573606
mv_f0_lv376_f0_c20,9971,48,11.17140622266133,16.02404771153511,-11.17140622266133,0.11642363269375174,0.1664221621110874
mv_f0_lv376_f0_n20,9970,48,11.16982815142749,16.013666801256324,-11.16982815142749,0.11640917598036854,0.16631536230155974
mv_f0_lv376_f0_c18,9967,48,11.168379698725465,16.013267760750562,-11.168379698725465,0.11638557876035822,0.1662642107300243
mv_f0_lv376_f0_n19,9968,48,11.166763880562824,16.006167561162414,-11.166763880562824,0.11638569116052729,0.16625117493656616
mv_f0_lv376_f0_c19,9969,48,11.166077789049652,16.007030228777957,-11.166077789049652,0.1163739250721114,0.16624307762181556
mv_f0_lv376_f0_n18,9966,48,11.16396374225073,15.998319821072078,-11.16396374225073,0.1163667351461271,0.16618990259637023
mv_f0_lv376_f0_c17,9965,48,11.159648811622702,15.983936503122033,-11.159648811622702,0.11633200794224556,0.16607158042350845
mv_f0_lv376_f0_n17,9964,48,11.159492517383617,15.984642810893364,-11.159492517383617,0.11634088283134271,0.1660991201467522
mv_f0_lv262_busbar,4096,48,11.159336668973486,17.097489993849358,-11.159336668973486,0.1174916490686041,0.18282929333307796
mv_f0_lv522_busbar,4356,48,11.158851296517733,16.402067427809175,-11.158851296517733,0.11581623067235243,0.17319072178802997
mv_f0_lv376_f0_n16,9962,48,11.154967822295745,15.971267209423457,-11.154967822295745,0.11631852196896181,0.16601921571330092
mv_f0_lv376_f0_c16,9963,48,11.154785728201977,15.974710491609738,-11.154785728201977,0.11631260720605123,0.16604630180688162
mv_f0_lv262_f0_n0,7848,48,11.153384577065937,17.092345757487955,-11.153384577065937,0.11741617654028291,0.18275313941502347
mv_f0_lv262_f0_n1,7850,48,11.151944486116534,17.092304817146616,-11.151944486116534,0.1173967180630802,0.18274760269473722
mv_f0_lv376_f0_c15,9961,48,11.150607351459135,15.956828995559615,-11.150607351459135,0.11629716901122424,0.16592742549118822
mv_f0_lv376_f0_n15,9960,48,11.150518573484112,15.956583024055703,-11.150518573484112,0.11629848673845518,0.16592898446366844
mv_f0_lv376_f0_c14,9959,48,11.146653555429625,15.941234037850162,-11.146653555429625,0.11627753917235155,0.16582170967242948
mv_f0_lv262_f0_c1,7851,48,11.146454751781027,17.090899646132915,-11.146454751781027,0.11732543388657153,0.18271650869993594
mv_f0_lv376_f0_n14,9958,48,11.146038610499737,15.941821693477696,-11.146038610499737,0.11627898240283212,0.16583943862625194
mv_f0_lv522_f0_n0,11700,48,11.145694831084887,16.39129630069101,-11.145694831084887,0.11565306387959236,0.17304889822497904
